;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
201;"Hometech 10T 10"" 16GB IPS Tablet + Kýlýf";Hometech;1.299,00 TL;%35;847,92 TL;% 0;847,92 TL;2,8;5 ;https://www.hepsiburada.com//hometech-10t-10-16gb-ips-tablet-kilif-p-HBV00000W5VQZ
202;"Reeder M10 Go 8GB Wi-Fi IPS 10.1"" Tablet Beyaz";Reeder;979,00 TL;%27;713,20 TL;% 0;713,20 TL;4,2;84 ;https://www.hepsiburada.com//reeder-m10-go-8gb-wi-fi-ips-10-1-tablet-beyaz-p-HBV00000TIOF2
203;"Alldocube MediaPad IPLAY10 Pro 32GB + 3GB 10.1"" IPS Ekran Siyah Tablet (Yurt Dýþýndan)";Alldocube;4.610,81 TL;%0;4.610,81 TL;% 0;4.610,81 TL;None;;https://www.hepsiburada.com//alldocube-mediapad-iplay10-pro-32gb-3gb-10-1-ips-ekran-siyah-tablet-yurt-disindan-p-HBV00000XFJOG
204;"Jedi Eco Pro 16GB 7"" Wi-Fi Tablet - Siyah";Jedi;648,94 TL;%0;648,94 TL;% 0;648,94 TL;3,8;16 ;https://www.hepsiburada.com//jedi-eco-pro-16gb-7-wi-fi-tablet-siyah-p-HBV00000TLJI4
205;"Exper Easypad T7C 16GB 7"" IPS Tablet (Exper Türkiye Garantili)";Exper;799,82 TL;%0;799,82 TL;% 0;799,82 TL;3,7;29 ;https://www.hepsiburada.com//exper-easypad-t7c-16gb-7-ips-tablet-exper-turkiye-garantili-p-HBV0000042TEY
206;"Philips M8 S408J 3GB Ram 32GB Hafýza Android 9.0 8"" Tablet";Philips;1.198,88 TL;%0;1.198,88 TL;% 0;1.198,88 TL;None;;https://www.hepsiburada.com//philips-m8-s408j-3gb-ram-32gb-hafiza-android-9-0-8-tablet-p-HBV000014T3A6
207;"Wenn Tab 16GB 7"" IPS Tablet";Wenn;648,94 TL;%0;648,94 TL;% 0;648,94 TL;None;;https://www.hepsiburada.com//wenn-tab-16gb-7-ips-tablet-p-HBCV00000625ER
208;"Alcatel Pixi 4 8GB 7"" Tablet - Siyah";Alcatel;859,81 TL;%0;859,81 TL;% 0;859,81 TL;4,3;95 ;https://www.hepsiburada.com//alcatel-pixi-4-8gb-7-tablet-siyah-p-HBV00000ANKCR
209;"Casper S38 16GB 8"" IPS Tablet - Mavi";Casper;1.299,00 TL;%8;1.198,88 TL;% 0;1.198,88 TL;4,2;240 ;https://www.hepsiburada.com//casper-s38-16gb-8-ips-tablet-mavi-p-HBV00000M3A11
210;Alcatel 1t 10'' 16 GB Premium Siyah Tablet;Alcatel;793,92 TL;%0;793,92 TL;% 0;793,92 TL;4,0;141 ;https://www.hepsiburada.com//alcatel-1t-10-16-gb-premium-siyah-tablet-p-HBV00000PO6T3
211;"Huawei MatePad Pro 128GB 10.8"" IPS Tablet";Huawei;5.488,45 TL;%0;5.488,45 TL;% 0;5.488,45 TL;4,2;68 ;https://www.hepsiburada.com//huawei-matepad-pro-128gb-10-8-ips-tablet-p-HBV00000TJ23T
212;"Everest EverPad DC-1032 10.1"" 32GB WiFi+Bluetooth Tablet";Everest;1.399,00 TL;%25;1.049,90 TL;% 0;1.049,90 TL;2,0;1 ;https://www.hepsiburada.com//everest-everpad-dc-1032-10-1-32gb-wifi-bluetooth-tablet-p-HBV00000XY7NU
213;"TechnoPC UltraPad UP10.S43LA 32GB 10.1"" Tablet";Technopc;1.653,11 TL;%0;1.653,11 TL;% 0;1.653,11 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-s43la-32gb-10-1-tablet-p-HBCV00000CZQZ7
214;"Everest Digiland DL7006-KB 7"" 8GB IPS WiFi Tablet Mavi";Everest;699,00 TL;%29;498,95 TL;% 0;498,95 TL;None;;https://www.hepsiburada.com//everest-digiland-dl7006-kb-7-8gb-ips-wifi-tablet-mavi-p-HBV00000P0RHJ
215;Everest Everpad Dc-1106 7.85 Ips 1Gb Ddr3 Ýntel Çift Çekirdek 8Gb Çift Kamera Android 4.2.2 Tablet Pc;Everest;1.198,88 TL;%0;1.198,88 TL;% 0;1.198,88 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-1106-7-85-ips-1gb-ddr3-intel-cift-cekirdek-8gb-cift-kamera-android-4-2-2-tablet-pc-p-HBV0000099GJ1
216;"Exper Easypad T7C 8GB 7"" IPS Tablet";Exper;799,82 TL;%0;799,82 TL;% 0;799,82 TL;5,0;2 ;https://www.hepsiburada.com//exper-easypad-t7c-8gb-7-ips-tablet-p-HBV00000A0BM6
217;"Redway 7 16 GB 7"" Android 9.0 GO Edition Wifi Tablet";Redway;499,00 TL;%10;448,96 TL;% 0;448,96 TL;2,2;7 ;https://www.hepsiburada.com//redway-7-16-gb-7-android-9-0-go-edition-wifi-tablet-p-HBV00000W7H4B
218;"Quadro Soft Touch 102 32GB 10.1"" IPS Tablet";Quadro;1.586,84 TL;%0;1.586,84 TL;% 0;1.586,84 TL;None;;https://www.hepsiburada.com//quadro-soft-touch-102-32gb-10-1-ips-tablet-p-HBV00001BM39V
219;"Reeder M10S 8GB 10.1"" Tablet Beyaz";Reeder;1.298,87 TL;%0;1.298,87 TL;% 0;1.298,87 TL;4,0;55 ;https://www.hepsiburada.com//reeder-m10s-8gb-10-1-tablet-beyaz-p-HBV00000O0WMP
220;"Hometech 8st 16 GB 8"" Tablet Beyaz";Hometech;774,92 TL;%0;774,92 TL;% 0;774,92 TL;None;;https://www.hepsiburada.com//hometech-8st-16-gb-8-tablet-beyaz-p-HBCV000002240A
221;Wenn Pro 10“ 32GB Tablet Siyah;Wenn;1.048,90 TL;%0;1.048,90 TL;% 0;1.048,90 TL;2,0;1 ;https://www.hepsiburada.com//wenn-pro-10-32gb-tablet-siyah-p-HBV000014O0H4
222;"General Mobile E-Tab 20 64GB 10.1"" IPS Tablet";General Mobile;1.598,84 TL;%0;1.598,84 TL;% 0;1.598,84 TL;None;;https://www.hepsiburada.com//general-mobile-e-tab-20-64gb-10-1-ips-tablet-p-HBCV0000079WAH
223;"Apple iPad Pro 2.Nesil Wi-Fi Cellular 512GB 11"" Tablet - Gümüþ MXE72TU/A";Apple;11.749,00 TL;%4;11.246,88 TL;% 0;11.246,88 TL;5,0;3 ;https://www.hepsiburada.com//apple-ipad-pro-2-nesil-wi-fi-cellular-512gb-11-tablet-gumus-mxe72tu-a-p-HBV00000SS5CX
224;"Lenovo Tab M10 32GB 10.1"" 4G Tablet ZA5A0012TR";Lenovo;1.358,86 TL;%0;1.358,86 TL;% 0;1.358,86 TL;4,4;30 ;https://www.hepsiburada.com//lenovo-tab-m10-32gb-10-1-4g-tablet-za5a0012tr-p-HBV0000111DXM
225;"Samsung Galaxy Tab S6 T860 Wifi 128GB 10.6"" Tablet Duman Grisi";Samsung;5.499,00 TL;%4;5.298,47 TL;% 0;5.298,47 TL;4,6;29 ;https://www.hepsiburada.com//samsung-galaxy-tab-s6-t860-wifi-128gb-10-6-tablet-duman-grisi-p-HBV00000N21ZB
226;"Huawei MatePad T8 16GB 8"" IPS Tablet Mavi";Huawei;1.179,00 TL;%21;928,91 TL;% 0;928,91 TL;4,4;38 ;https://www.hepsiburada.com//huawei-matepad-t8-16gb-8-ips-tablet-mavi-p-HBV00000UUE1W
227;"Apple iPad Pro 2.Nesil Wi-Fi Cellular 128GB 11"" Tablet - Gümüþ MY2W2TU/A";Apple;8.998,10 TL;%0;8.998,10 TL;% 0;8.998,10 TL;4,4;13 ;https://www.hepsiburada.com//apple-ipad-pro-2-nesil-wi-fi-cellular-128gb-11-tablet-gumus-my2w2tu-a-p-HBV00000SS5DF
228;"Lenovo Tab M10 HD TB-X505F 32GB 10.1"" IPS Wi-Fi Tablet - Siyah ZA590015TR";Lenovo;1.348,87 TL;%0;1.348,87 TL;% 0;1.348,87 TL;5,0;2 ;https://www.hepsiburada.com//lenovo-tab-m10-hd-tb-x505f-32gb-10-1-ips-wi-fi-tablet-siyah-za590015tr-p-HBV000014CTWP
229;Everest Everpad R706 7'' 8 GB Tablet Mavi;Everest;469,85 TL;%0;469,85 TL;% 0;469,85 TL;None;;https://www.hepsiburada.com//everest-everpad-r706-7-8-gb-tablet-mavi-p-HBV000017FUTC
230;"AmazonFire 32GB 10.1"" Tablet";Amazon;1.398,86 TL;%0;1.398,86 TL;% 0;1.398,86 TL;None;;https://www.hepsiburada.com//amazonfire-32gb-10-1-tablet-p-HBCV000001CQUG
231;"Technopc UltraPad UP10.SI46LA 64GB 10"" IPS Tablet";Spreadtrum;1.348,87 TL;%0;1.348,87 TL;% 0;1.348,87 TL;2,0;2 ;https://www.hepsiburada.com//technopc-ultrapad-up10-si46la-64gb-10-ips-tablet-p-HBV000011Q5EK
232;Wenn Tab 8'' 16 GB Android Tablet;Wenn;799,00 TL;%2;784,82 TL;% 0;784,82 TL;4,8;4 ;https://www.hepsiburada.com//wenn-tab-8-16-gb-android-tablet-p-HBV00000XJSUI
233;"Denver TAQ-10283 16GB 10.1"" Tablet";Denver;688,93 TL;%0;688,93 TL;% 0;688,93 TL;None;;https://www.hepsiburada.com//denver-taq-10283-16gb-10-1-tablet-p-HBV0000182WKT
234;"Goldmaster Funcy 3 8"" 8GB IPS Tablet Beyaz";Goldmaster;488,95 TL;%0;488,95 TL;% 0;488,95 TL;1,0;1 ;https://www.hepsiburada.com//goldmaster-funcy-3-8-8gb-ips-tablet-beyaz-p-HBV00000WTHBH
235;Everest Everpad Dc-2016 7 Ips 1Gb Ddr3 1.3Ghz X4 8Gb Çift Kamera Android 5.1 Lollipop Tablet Pc;Everest;699,92 TL;%0;699,92 TL;% 0;699,92 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-2016-7-ips-1gb-ddr3-1-3ghz-x4-8gb-cift-kamera-android-5-1-lollipop-tablet-pc-p-HBV0000099GKJ
236;"iPad 7. Nesil 128 GB 10.2""  Wifi+Cellular Tablet  MW6G2TU/A";Apple;5.498,45 TL;%0;5.498,45 TL;% 0;5.498,45 TL;4,9;12 ;https://www.hepsiburada.com//ipad-7-nesil-128-gb-10-2-wifi-cellular-tablet-mw6g2tu-a-p-HBV00000NWEST
237;"TechnoPC UltraPad UP07.S21GA 16GB 7"" Tablet";Technopc;763,80 TL;%0;763,80 TL;% 0;763,80 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up07-s21ga-16gb-7-tablet-p-HBCV00000CZQZ9
238;Denver TAQ-10283 1GB+16GB Android 8.1go 1.3ghz Dört Çekirdekli 10.1'' Tablet;Denver;718,93 TL;%0;718,93 TL;% 0;718,93 TL;None;;https://www.hepsiburada.com//denver-taq-10283-1gb-16gb-android-8-1go-1-3ghz-dort-cekirdekli-10-1-tablet-p-HBV000013W8M3
239;"Apple iPad Pro Wi-Fi 64GB 12.9"" Tablet - Uzay Grisi MTEL2TU/A";Apple;9.449,00 TL;%3;9.148,09 TL;% 0;9.148,09 TL;4,7;16 ;https://www.hepsiburada.com//apple-ipad-pro-wi-fi-64gb-12-9-tablet-uzay-grisi-mtel2tu-a-p-HBV00000FH2RW
240;"Huawei MediaPad T3 16GB 7"" IPS Tablet Gri";Huawei;1.099,00 TL;%11;978,90 TL;% 0;978,90 TL;3,7;49 ;https://www.hepsiburada.com//huawei-mediapad-t3-16gb-7-ips-tablet-gri-p-HBV00000I9YVX
241;"Ixtech IX701 7"" 16GB Tablet Siyah";Ýxtech;627,94 TL;%0;627,94 TL;% 0;627,94 TL;None;;https://www.hepsiburada.com//ixtech-ix701-7-16gb-tablet-siyah-p-HBCV00000BABSH
242;"C5 Mobile NOA 8GB 7"" 4G IPS Tablet";C5 Electronics;498,95 TL;%0;498,95 TL;% 0;498,95 TL;1,0;3 ;https://www.hepsiburada.com//c5-mobile-noa-8gb-7-4g-ips-tablet-p-HBV000008PYH5
243;"Concord TP32E 32GB 7"" IPS Tablet + Ekran Koruyucu";Concord;698,93 TL;%0;698,93 TL;% 0;698,93 TL;None;;https://www.hepsiburada.com//concord-tp32e-32gb-7-ips-tablet-ekran-koruyucu-p-HBCV000009EQJS
244;"Hometech Alfa 10MD 10"" 32GB 3g IPS Tablet";Hometech;848,92 TL;%0;848,92 TL;% 0;848,92 TL;None;;https://www.hepsiburada.com//hometech-alfa-10md-10-32gb-3g-ips-tablet-p-HBCV000008Q55W
245;"Techstorm Winpad P01 2021 64GB 8"" IPS Tablet";Techstorm;2.048,80 TL;%0;2.048,80 TL;% 0;2.048,80 TL;None;;https://www.hepsiburada.com//techstorm-winpad-p01-2021-64gb-8-ips-tablet-p-HBCV00000DP8TV
246;"Enthalpy Q8A100 32GB 7"" Tablet (Yurt Dýþýndan)";Enthalpy;917,35 TL;%0;917,35 TL;% 0;917,35 TL;None;;https://www.hepsiburada.com//enthalpy-q8a100-32gb-7-tablet-yurt-disindan-p-HBCV00000DMMHM
247;"Everest EverPad DC-1032 10.1"" 32GB WiFi + Bluetooth 4.1 IPS Tablet Beyaz";Everest;1.298,87 TL;%0;1.298,87 TL;% 0;1.298,87 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-1032-10-1-32gb-wifi-bluetooth-4-1-ips-tablet-beyaz-p-HBV00000XYG00
248;"Concord C-754 Pie 10.1"" 64GB 4.5G IPS Tablet Gri";Concord;1.328,87 TL;%0;1.328,87 TL;% 0;1.328,87 TL;4,3;6 ;https://www.hepsiburada.com//concord-c-754-pie-10-1-64gb-4-5g-ips-tablet-gri-p-HBV00000SNWCP
249;"Ixtech Ix 1013 32GB 10.1"" Tablet";Ýxtech;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;None;;https://www.hepsiburada.com//ixtech-ix-1013-32gb-10-1-tablet-p-HBCV00000BTUGW
250;"Jedi Pro S7 7"" 16GB Tablet Beyaz";Jedi;548,95 TL;%0;548,95 TL;% 0;548,95 TL;None;;https://www.hepsiburada.com//jedi-pro-s7-7-16gb-tablet-beyaz-p-HBV000014NZL5
251;"ASRES SIM kartlý 10.1"" Tablet";Asres;1.492,85 TL;%0;1.492,85 TL;% 0;1.492,85 TL;4,0;1 ;https://www.hepsiburada.com//asres-sim-kartli-10-1-tablet-p-HBCV000002NWBP
252;"Technopc Ultrapad UP10.S43LA 10"" 4GB 32GB 4G Android 10 Tablet";Rockchip;1.148,89 TL;%0;1.148,89 TL;% 0;1.148,89 TL;1,0;1 ;https://www.hepsiburada.com//technopc-ultrapad-up10-s43la-10-4gb-32gb-4g-android-10-tablet-p-HBV000011Q5ES
253;"AmazonFire 32GB 10.1"" Tablet";Amazon;1.398,86 TL;%0;1.398,86 TL;% 0;1.398,86 TL;None;;https://www.hepsiburada.com//amazonfire-32gb-10-1-tablet-p-HBCV000001CQUG
254;"Technopc UltraPad UP10.SI46LA 64GB 10"" IPS Tablet";Spreadtrum;1.348,87 TL;%0;1.348,87 TL;% 0;1.348,87 TL;2,0;2 ;https://www.hepsiburada.com//technopc-ultrapad-up10-si46la-64gb-10-ips-tablet-p-HBV000011Q5EK
255;Everest Everpad R706 7'' 8 GB Tablet Mavi;Everest;469,85 TL;%0;469,85 TL;% 0;469,85 TL;None;;https://www.hepsiburada.com//everest-everpad-r706-7-8-gb-tablet-mavi-p-HBV000017FUTC
256;Wenn Tab 8'' 16 GB Android Tablet;Wenn;799,00 TL;%2;784,82 TL;% 0;784,82 TL;4,8;4 ;https://www.hepsiburada.com//wenn-tab-8-16-gb-android-tablet-p-HBV00000XJSUI
257;"Lenovo Tab M10 HD TB-X505F 32GB 10.1"" IPS Wi-Fi Tablet - Siyah ZA590015TR";Lenovo;1.348,87 TL;%0;1.348,87 TL;% 0;1.348,87 TL;5,0;2 ;https://www.hepsiburada.com//lenovo-tab-m10-hd-tb-x505f-32gb-10-1-ips-wi-fi-tablet-siyah-za590015tr-p-HBV000014CTWP
258;"Denver TAQ-10283 16GB 10.1"" Tablet";Denver;688,93 TL;%0;688,93 TL;% 0;688,93 TL;None;;https://www.hepsiburada.com//denver-taq-10283-16gb-10-1-tablet-p-HBV0000182WKT
259;Everest Everpad Dc-2016 7 Ips 1Gb Ddr3 1.3Ghz X4 8Gb Çift Kamera Android 5.1 Lollipop Tablet Pc;Everest;699,92 TL;%0;699,92 TL;% 0;699,92 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-2016-7-ips-1gb-ddr3-1-3ghz-x4-8gb-cift-kamera-android-5-1-lollipop-tablet-pc-p-HBV0000099GKJ
260;"iPad 7. Nesil 128 GB 10.2""  Wifi+Cellular Tablet  MW6G2TU/A";Apple;5.498,45 TL;%0;5.498,45 TL;% 0;5.498,45 TL;4,9;12 ;https://www.hepsiburada.com//ipad-7-nesil-128-gb-10-2-wifi-cellular-tablet-mw6g2tu-a-p-HBV00000NWEST
261;"Goldmaster Funcy 3 8"" 8GB IPS Tablet Beyaz";Goldmaster;488,95 TL;%0;488,95 TL;% 0;488,95 TL;1,0;1 ;https://www.hepsiburada.com//goldmaster-funcy-3-8-8gb-ips-tablet-beyaz-p-HBV00000WTHBH
262;"TechnoPC UltraPad UP07.S21GA 16GB 7"" Tablet";Technopc;763,80 TL;%0;763,80 TL;% 0;763,80 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up07-s21ga-16gb-7-tablet-p-HBCV00000CZQZ9
263;Denver TAQ-10283 1GB+16GB Android 8.1go 1.3ghz Dört Çekirdekli 10.1'' Tablet;Denver;718,93 TL;%0;718,93 TL;% 0;718,93 TL;None;;https://www.hepsiburada.com//denver-taq-10283-1gb-16gb-android-8-1go-1-3ghz-dort-cekirdekli-10-1-tablet-p-HBV000013W8M3
264;"Workmate WM-ZX80 Dgps 4gb 64GB 8"" Hassas Gps Endüstriyel Tablet";Wmate;26.487,35 TL;%0;26.487,35 TL;% 0;26.487,35 TL;None;;https://www.hepsiburada.com//workmate-wm-zx80-dgps-4gb-64gb-8-hassas-gps-endustriyel-tablet-p-HBCV00000BUYMU
265;Elephone Winnovo T2 10” 2GB Ram 32GB Tablet Gri;Elephone;948,91 TL;%0;948,91 TL;% 0;948,91 TL;None;;https://www.hepsiburada.com//elephone-winnovo-t2-10-2gb-ram-32gb-tablet-gri-p-HBV000017C2W1
266;"Workmate WM-ZX100 Dgps 4gb 64GB 8"" 10.1"" Hassas Gps Endüstriyel Tablet";Wmate;31.486,85 TL;%0;31.486,85 TL;% 0;31.486,85 TL;None;;https://www.hepsiburada.com//workmate-wm-zx100-dgps-4gb-64gb-8-10-1-hassas-gps-endustriyel-tablet-p-HBCV00000BUYMS
267;"Reeder A8i Q2 16GB 8"" IPS Tablet - Gümüþ";Reeder;899,00 TL;%28;648,94 TL;% 0;648,94 TL;4,0;35 ;https://www.hepsiburada.com//reeder-a8i-q2-16gb-8-ips-tablet-gumus-p-HBV000009KULC
268;"TechnoPC UltraPad UP10.SI21WA 16"" 10.1"" Wi-Fi Tablet";Technopc;1.134,99 TL;%0;1.134,99 TL;% 0;1.134,99 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-si21wa-16-10-1-wi-fi-tablet-p-HBCV00000CZQZ3
269;"Techstorm Winpad P02 Intel Celeron N4120 8GB 128GB Windows 10 Pro 11.6"" Tablet + Klavye + Kalem";Techstorm;3.998,60 TL;%0;3.998,60 TL;% 0;3.998,60 TL;5,0;3 ;https://www.hepsiburada.com//techstorm-winpad-p02-intel-celeron-n4120-8gb-128gb-windows-10-pro-11-6-tablet-klavye-kalem-p-HBV00001C4AL9
270;"Everest XMARS EW-2020 32GB 7"" Wi-Fi Mavi Tablet";Everest;899,00 TL;%18;733,13 TL;% 10;659,25 TL;3,7;7 ;https://www.hepsiburada.com//everest-xmars-ew-2020-32gb-7-wi-fi-mavi-tablet-p-HBV000015TOZX
271;"Sunny SN10016 10"" 16 GB IPS Tablet";Sunny;748,93 TL;%0;748,93 TL;% 0;748,93 TL;None;;https://www.hepsiburada.com//sunny-sn10016-10-16-gb-ips-tablet-p-HBCV0000002DJA
272;"Technopc Ultrapad UP10.SS23WA 10"" 2GB 32GB Wifi Android 9 Tablet";Rockchip;1.341,87 TL;%0;1.341,87 TL;% 0;1.341,87 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-ss23wa-10-2gb-32gb-wifi-android-9-tablet-p-HBV000011Q5ED
273;Everest Everpad DC-M700 7'' 2gb 16GB Android 10.0 Tablet;Everest;665,52 TL;%0;665,52 TL;% 0;665,52 TL;2,0;1 ;https://www.hepsiburada.com//everest-everpad-dc-m700-7-2gb-16gb-android-10-0-tablet-p-HBV00000ZKTCF
274;"Qpad Qpad7004sýyah Qpad Qpad7004 7"" Dual Core 4Gb 512Mb 2Xcam Wi-Fi Android 4.4";Qpad;3.398,66 TL;%0;3.398,66 TL;% 0;3.398,66 TL;None;;https://www.hepsiburada.com//qpad-qpad7004siyah-qpad-qpad7004-7-dual-core-4gb-512mb-2xcam-wi-fi-android-4-4-p-BDORHQPAD7004SIYAH
275;"Technopc Ultrapad UP07.S21GA 7"" 2GB 16GB 3G Android 10 Tablet";Rockchip;752,44 TL;%0;752,44 TL;% 0;752,44 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up07-s21ga-7-2gb-16gb-3g-android-10-tablet-p-HBV000011Q5F4
276;"Workmate WM-UX82 4gb 64GB 8"" Endüstriyel Tablet";Wmate;16.988,30 TL;%0;16.988,30 TL;% 0;16.988,30 TL;None;;https://www.hepsiburada.com//workmate-wm-ux82-4gb-64gb-8-endustriyel-tablet-p-HBCV00000BUXWA
277;"Gigaset QV830 8GB 8"" IPS Tablet";Gigaset;998,90 TL;%0;998,90 TL;% 0;998,90 TL;1,0;1 ;https://www.hepsiburada.com//gigaset-qv830-8gb-8-ips-tablet-p-HBV000008C0V9
278;"Apple iPad Pro 3. Nesil Wi-Fi 512 GB 11"" Tablet - Uzay Grisi MHQW3TU/A";Apple;11.899,00 TL;%5;11.299,90 TL;% 0;11.299,90 TL;None;;https://www.hepsiburada.com//apple-ipad-pro-3-nesil-wi-fi-512-gb-11-tablet-uzay-grisi-mhqw3tu-a-p-HBCV000005L9TX
279;"TechnoPC UltraPad UP10.S21LA 16GB 10"" Tablet";Technopc;1.273,17 TL;%0;1.273,17 TL;% 0;1.273,17 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-s21la-16gb-10-tablet-p-HBCV00000CZQZ5
280;"Hometech Alfa-8SL 16GB 8"" Wi-Fi Tablet - Gümüþ";Hometech;524,95 TL;%0;524,95 TL;% 0;524,95 TL;3,7;7 ;https://www.hepsiburada.com//hometech-alfa-8sl-16gb-8-wi-fi-tablet-gumus-p-HBV000014RWOB
281;"Everest Winner Pro EW-2021 16GB 7"" Wi-Fi Kýrmýzý Tablet";Everest;759,00 TL;%11;676,68 TL;% 16;565,14 TL;3,2;5 ;https://www.hepsiburada.com//everest-winner-pro-ew-2021-16gb-7-wi-fi-kirmizi-tablet-p-HBV000015TMVI
282;"Smarttab HD ST7160BK 16GB 7"" Tablet";Smarttab;548,95 TL;%0;548,95 TL;% 0;548,95 TL;None;;https://www.hepsiburada.com//smarttab-hd-st7160bk-16gb-7-tablet-p-HBV000011CZ6F
283;"Chuwi MediaPad Ubook 256GB + 8GB 11.6"" Tablet Uzay Grisi (Yurt Dýþýndan)";Chuwi;8.409,28 TL;%0;8.409,28 TL;% 0;8.409,28 TL;None;;https://www.hepsiburada.com//chuwi-mediapad-ubook-256gb-8gb-11-6-tablet-uzay-grisi-yurt-disindan-p-HBV00000XFJOK
284;"Everest EverPad R706 8GB 7"" IPS Tablet + Kýlýf";Everest;489,85 TL;%0;489,85 TL;% 0;489,85 TL;None;;https://www.hepsiburada.com//everest-everpad-r706-8gb-7-ips-tablet-kilif-p-HBV000013SKY0
285;"Apple iPad Air 3 64GB 10.5"" Wi-Fi+ Cellular Retina Tablet - Uzay Grisi MV0D2TU/A";Apple;5.698,43 TL;%0;5.698,43 TL;% 0;5.698,43 TL;4,9;7 ;https://www.hepsiburada.com//apple-ipad-air-3-64gb-10-5-wi-fi-cellular-retina-tablet-uzay-grisi-mv0d2tu-a-p-HBV00000JVORN
286;"Hometech Alfa 8RX 16GB 8"" IPS Tablet Siyah";Hometech;898,91 TL;%0;898,91 TL;% 0;898,91 TL;3,1;9 ;https://www.hepsiburada.com//hometech-alfa-8rx-16gb-8-ips-tablet-siyah-p-HBV00000OHDPQ
287;"TechnoPC UltraPad UP10.S36LA 64GB 10"" Tablet";Technopc;1.670,32 TL;%0;1.670,32 TL;% 0;1.670,32 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-s36la-64gb-10-tablet-p-HBCV00000CZQZ1
288;"TechnoPC UltraPad UP10.SI21WA 16"" 10.1"" Wi-Fi Tablet";Technopc;1.134,99 TL;%0;1.134,99 TL;% 0;1.134,99 TL;None;;https://www.hepsiburada.com//technopc-ultrapad-up10-si21wa-16-10-1-wi-fi-tablet-p-HBCV00000CZQZ3
289;"Techstorm Winpad P02 Intel Celeron N4120 8GB 128GB Windows 10 Pro 11.6"" Tablet + Klavye + Kalem";Techstorm;3.998,60 TL;%0;3.998,60 TL;% 0;3.998,60 TL;5,0;3 ;https://www.hepsiburada.com//techstorm-winpad-p02-intel-celeron-n4120-8gb-128gb-windows-10-pro-11-6-tablet-klavye-kalem-p-HBV00001C4AL9
290;"Everest XMARS EW-2020 32GB 7"" Wi-Fi Mavi Tablet";Everest;899,00 TL;%18;733,13 TL;% 10;659,25 TL;3,7;7 ;https://www.hepsiburada.com//everest-xmars-ew-2020-32gb-7-wi-fi-mavi-tablet-p-HBV000015TOZX
291;"Qpad Qpad7004sýyah Qpad Qpad7004 7"" Dual Core 4Gb 512Mb 2Xcam Wi-Fi Android 4.4";Qpad;3.398,66 TL;%0;3.398,66 TL;% 0;3.398,66 TL;None;;https://www.hepsiburada.com//qpad-qpad7004siyah-qpad-qpad7004-7-dual-core-4gb-512mb-2xcam-wi-fi-android-4-4-p-BDORHQPAD7004SIYAH
292;Everest EVERPAD DC-8015 Beyaz Wifi + BT4.0 Çift Kamera 1024*600 IPS 2GB 1.0Ghz 2G+16GB 7Android 10.0 GO GMS;Everest;779,00 TL;%28;558,83 TL;% 0;558,83 TL;2,4;6 ;https://www.hepsiburada.com//everest-everpad-dc-8015-beyaz-wifi-bt4-0-cift-kamera-1024-600-ips-2gb-1-0ghz-2g-16gb-7android-10-0-go-gms-p-HBV000015UZUP
293;"Ultrapad Quad Core Cortex A7 1.3GHz 1GB 8GB 9"" Wi-Fi Android 5.1 UP918";Ultrapad;727,32 TL;%0;727,32 TL;% 0;727,32 TL;1,0;1 ;https://www.hepsiburada.com//ultrapad-quad-core-cortex-a7-1-3ghz-1gb-8gb-9-wi-fi-android-5-1-up918-p-BD802633
294;Everest EVERPAD DC-8015 EBA Kýrmýzý Wifi+BT4.0 Çift Kamera 1024*600 TN 2GB 1.0Ghz 2G+16GB 7''Android 10;Everest;769,00 TL;%9;699,30 TL;% 10;629,36 TL;1,5;2 ;https://www.hepsiburada.com//everest-everpad-dc-8015-eba-kirmizi-wifi-bt4-0-cift-kamera-1024-600-tn-2gb-1-0ghz-2g-16gb-7-android-10-p-HBCV000002RAPF
295;"Hometech Pro Tab 16GB 7"" Tablet";Hometech;249,00 TL;%100;0,00 TL (0,00 TL/adet);% 0;0,00 TL;4,0;2 ;https://www.hepsiburada.com//hometech-pro-tab-16gb-7-tablet-p-HBV000002LQA4
