;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
48;"Lenovo Tab M10 Plus TB-X606F 10.3"" 128GB WiFi + Bluetooth Tablet ZA5T0276TR";Lenovo;1.998,80 TL;%0;1.998,80 TL;% 0;1.998,80 TL;4,8;39 ;https://www.hepsiburada.com//lenovo-tab-m10-plus-tb-x606f-10-3-128gb-wifi-bluetooth-tablet-za5t0276tr-p-HBV00000WWOTI
49;ALCATEL 3T 8''2020 32GB Tablet Black;Alcatel;829,00 TL;%4;799,90 TL;% 0;799,90 TL;None;;https://www.hepsiburada.com//alcatel-3t-8-2020-32gb-tablet-black-p-HBCV000001MN1X
50;"Reeder M7 Go 8GB 7"" IPS Tablet";Reeder;499,00 TL;%10;448,96 TL;% 0;448,96 TL;4,0;129 ;https://www.hepsiburada.com//reeder-m7-go-8gb-7-ips-tablet-p-HBV00000BBMCD
51;"Hometech Alfa 7 Lm 32GB 7"" IPS Tablet";Hometech;582,94 TL;%0;582,94 TL;% 0;582,94 TL;3,6;23 ;https://www.hepsiburada.com//hometech-alfa-7-lm-32gb-7-ips-tablet-p-HBV0000179W5F
52;"Apple iPad 8. Nesil 32 GB 10.2"" WiFi Cellular Tablet - MYMH2TU/A";Apple;4.899,00 TL;%9;4.459,90 TL;% 0;4.459,90 TL;4,9;58 ;https://www.hepsiburada.com//apple-ipad-8-nesil-32-gb-10-2-wifi-cellular-tablet-mymh2tu-a-p-HBV00000XAMHY
53;"Casper Via S48 8"" 32GB IPS Tablet";Casper;1.089,00 TL;%13;949,90 TL;% 0;949,90 TL;4,4;105 ;https://www.hepsiburada.com//casper-via-s48-8-32gb-ips-tablet-p-HBV00000XY7S3
54;"Lenovo Tab M10 64GB 10.3"" FHD Tablet ZA6H0015TR";Lenovo;2.499,00 TL;%28;1.798,82 TL;% 0;1.798,82 TL;4,7;19 ;https://www.hepsiburada.com//lenovo-tab-m10-64gb-10-3-fhd-tablet-za6h0015tr-p-HBV00000ZJR3G
55;"Philips M9 PRO S410J 4GB Ram 64GB Hafýza Android 9.0 10.1"" Tablet";Philips;1.548,85 TL;%0;1.548,85 TL;% 0;1.548,85 TL;4,5;40 ;https://www.hepsiburada.com//philips-m9-pro-s410j-4gb-ram-64gb-hafiza-android-9-0-10-1-tablet-p-HBV000014T39Y
56;"Apple iPad Wi-Fi 32GB 9.7"" IPS Tablet - Gri MP2F2TU/A";Apple;3.499,00 TL;%24;2.648,74 TL;% 0;2.648,74 TL;4,7;93 ;https://www.hepsiburada.com//apple-ipad-wi-fi-32gb-9-7-ips-tablet-gri-mp2f2tu-a-p-HBV000005C0AR
57;"Lenovo Tab M10 TB-X505L 32GB 10.1"" 4G IPS Tablet Siyah ZA4H0040TR";Lenovo;2.199,00 TL;%41;1.298,87 TL;% 0;1.298,87 TL;4,6;48 ;https://www.hepsiburada.com//lenovo-tab-m10-tb-x505l-32gb-10-1-4g-ips-tablet-siyah-za4h0040tr-p-HBV00000O289V
58;"Hometech ALFA-10YC 128GB 10.1"" IPS Tablet";Hometech;1.496,85 TL;%0;1.496,85 TL;% 0;1.496,85 TL;4,6;27 ;https://www.hepsiburada.com//hometech-alfa-10yc-128gb-10-1-ips-tablet-p-HBV00001CDAD3
59;"Lenovo Tab M10 TB-X606X 64GB 10.3"" WiFi 4G LTE Tablet ZA6J0006TR";Lenovo;1.898,81 TL;%0;1.898,81 TL;% 0;1.898,81 TL;4,9;11 ;https://www.hepsiburada.com//lenovo-tab-m10-tb-x606x-64gb-10-3-wifi-4g-lte-tablet-za6j0006tr-p-HBV000012G213
60;"Reeder M10S Plus 32GB 101."" IPS Tablet";Reeder;848,92 TL;%0;848,92 TL;% 0;848,92 TL;None;;https://www.hepsiburada.com//reeder-m10s-plus-32gb-101-ips-tablet-p-HBCV000006AIE4
61;"Hometech ALFA-10TB 64GB 10.4"" IPS Tablet + Klavye + Kýlýf";Hometech;1.254,87 TL;%0;1.254,87 TL;% 0;1.254,87 TL;4,3;38 ;https://www.hepsiburada.com//hometech-alfa-10tb-64gb-10-4-ips-tablet-klavye-kilif-p-HBV000011QLA7
62;"Reeder M8 Go 8GB 8"" IPS Tablet Beyaz";Reeder;599,00 TL;%11;534,95 TL;% 0;534,95 TL;3,8;124 ;https://www.hepsiburada.com//reeder-m8-go-8gb-8-ips-tablet-beyaz-p-HBV00000GUJVM
63;Alcatel A3 16GB 10'' IPS Siyah Tablet;Alcatel;698,93 TL;%0;698,93 TL;% 0;698,93 TL;2,8;15 ;https://www.hepsiburada.com//alcatel-a3-16gb-10-ips-siyah-tablet-p-HBV00000CLX5U
64;"Hometech Alfa 7 Premium 2 GB 32 GB 7"" Tablet Gri";Hometech;517,95 TL;%0;517,95 TL;% 0;517,95 TL;3,6;5 ;https://www.hepsiburada.com//hometech-alfa-7-premium-2-gb-32-gb-7-tablet-gri-p-HBV000019QX42
65;"Hometech Alfa 8st 16GB 8"" IPS Tablet";Hometech;563,78 TL;%0;563,78 TL;% 0;563,78 TL;5,0;1 ;https://www.hepsiburada.com//hometech-alfa-8st-16gb-8-ips-tablet-p-HBCV000006AJTS
66;Apple iPad Pro 5. Nesil Wi-Fi Cellular 256 GB Tablet - Uzay Grisi MHR63TU/A;Apple;14.699,00 TL;%4;14.099,90 TL;% 0;14.099,90 TL;None;;https://www.hepsiburada.com//apple-ipad-pro-5-nesil-wi-fi-cellular-256-gb-tablet-uzay-grisi-mhr63tu-a-p-HBCV000005LA5D
67;"Insignia Insiginia 32GB 10.1"" Eba Uyumlu HD IPS Tablet Siyah (NS-P10A8100)";Insignia;999,00 TL;%23;768,92 TL;% 0;768,92 TL;4,0;262 ;https://www.hepsiburada.com//insignia-insiginia-32gb-10-1-eba-uyumlu-hd-ips-tablet-siyah-ns-p10a8100-p-HBV00000TA3DA
68;"Apple iPad Pro 4.Nesil Wi-Fi 256GB 12.9"" Tablet - Gümüþ MXAU2TU/A";Apple;11.997,80 TL;%0;11.997,80 TL;% 0;11.997,80 TL;4,9;61 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-256gb-12-9-tablet-gumus-mxau2tu-a-p-HBV00000SS5DO
69;"Vorcom S7 Classic 7"" 16GB Tablet";Vorcom;599,00 TL;%18;489,94 TL;% 0;489,94 TL;3,9;174 ;https://www.hepsiburada.com//vorcom-s7-classic-7-16gb-tablet-p-HBV00000VDB97
70;"Lenovo Tab M10 TB-X605FC 32GB 10.1"" IPS Tablet Siyah ZA4Y0053TR";Lenovo;1.599,00 TL;%6;1.498,85 TL;% 0;1.498,85 TL;4,8;89 ;https://www.hepsiburada.com//lenovo-tab-m10-tb-x605fc-32gb-10-1-ips-tablet-siyah-za4y0053tr-p-HBV00000Y2ABS
71;"Vorcom SX Pro 64GB 10"" IPS Tablet Siyah";Vorcom;1.175,88 TL;%0;1.175,88 TL;% 0;1.175,88 TL;4,3;264 ;https://www.hepsiburada.com//vorcom-sx-pro-64gb-10-ips-tablet-siyah-p-HBV000014L4V6
72;"Soultech TB001 2gb 16GB 7"" Tablet Siyah";Soultech;478,95 TL;%0;478,95 TL;% 0;478,95 TL;4,7;6 ;https://www.hepsiburada.com//soultech-tb001-2gb-16gb-7-tablet-siyah-p-HBCV000001B7SD
